County,r1905
Adams,"$8,417,055 "
Arapahoe,"$11,666,375 "
Archuleta,"$706,823 "
Boulder,"$8,711,541 "
Chaffee,"$483,702 "
Clear Creek,"$563,276 "
Conejos,NR
Costilla,"$390,105 "
Denver,"$36,761,879 "
Eagle,"$1,032,881 "
El Paso,NR
Garfield,"$2,112,194 "
Gilpin,"$262,353 "
Grand,"$396,004 "
Gunnison,"$536,027 "
Huerfano,"$243,954 "
Jefferson,"$4,716,515 "
Lake,NR
La Plata,"$2,737,859 "
Larimer,"$7,422,167 "
Las Animas,"$4,197,971 "
Mesa,"$1,878,469 "
Moffat,"$728,850 "
Montezuma,"$1,762,895 "
Morgan,"$1,279,570 "
Otero,NR
Ouray,NR
Park,"$377,648 "
Pitkin,"$576,807 "
Pueblo,"$6,412,447 "
Routt,"$771,517 "
Saguache,"$256,967 "
San Juan,NR
San Miguel,"$227,610 "
Sedgwick,NR
Summit,"$1,356,620 "
Weld,"$2,310,239 "
Sum of NR Counties,"$4,362,599 "
