County,r1709
Adams,"$5,591,544 "
Arapahoe,"$9,476,898 "
Archuleta,"$715,518 "
Boulder,"$7,089,840 "
Chaffee,"$547,218 "
Clear Creek,"$570,485 "
Conejos,"$555,120 "
Costilla,"$424,241 "
Denver,"$34,766,657 "
Eagle,"$1,212,598 "
El Paso,NR
Garfield,"$2,104,540 "
Gilpin,"$266,428 "
Grand,"$355,550 "
Gunnison,"$728,296 "
Huerfano,NR
Jefferson,"$4,335,662 "
Lake,"$272,842 "
La Plata,"$2,211,371 "
Larimer,"$5,491,456 "
Las Animas,"$4,669,330 "
Mesa,"$931,484 "
Montezuma,"$1,890,596 "
Morgan,"$972,694 "
Ouray,"$641,630 "
Park,"$401,682 "
Pitkin,"$1,058,088 "
Pueblo,"$3,869,882 "
Routt,"$924,592 "
Saguache,"$151,900 "
San Juan,NR
San Miguel,"$475,875 "
Sedgwick,NR
Summit,"$1,561,814 "
Weld,"$2,723,950 "
Sum of NR Counties,"$3,290,855 "
