County,m1802
Adams,"$686,490"
Alamosa,NR
Arapahoe,"$788,639"
Archuleta,NR
Boulder,"$1,481,838"
Chaffee,NR
Clear Creek,"$28,097"
Denver,"$11,430,319"
Eagle,"$119,561"
El Paso,"$7,412,365"
Fremont,"$134,945"
Garfield,"$239,710"
Gilpin,NR
Grand,NR
Jefferson,"$1,205,386"
La Plata,"$277,446"
Larimer,"$1,057,880"
Las Animas,"$36,072"
Mesa,NR
Moffat,NR
Montezuma,"$52,213"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$58,230"
Pueblo,"$508,986"
Routt,"$158,779"
San Miguel,NR
Sedgwick,NR
Summit,"$106,905"
Weld,"$327,679"
Sum of NR Counties,"$528,764"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
