County,r1611
Adams,"$4,396,031"
Arapahoe,"$8,514,717"
Archuleta,NR
Boulder,"$5,444,937"
Chaffee,"$308,023"
Clear Creek,"$431,209"
Conejos,"$320,078"
Costilla,"$228,406"
Denver,"$26,146,211"
Eagle,"$886,933"
El Paso,NR
Garfield,"$1,372,095"
Gilpin,"$187,219"
Grand,"$250,357"
Gunnison,"$390,416"
Huerfano,NR
Jefferson,"$3,935,409"
La Plata,"$1,718,599"
Lake,NR
Larimer,"$3,964,140"
Las Animas,"$2,305,460"
Mesa,NR
Montezuma,"$1,212,346"
Morgan,"$558,715"
Ouray,"$298,217"
Park,"$277,990"
Pitkin,"$445,008"
Pueblo,"$2,583,047"
Routt,"$593,501"
Saguache,NR
San Juan,NR
San Miguel,"$146,596"
Sedgwick,NR
Summit,"$1,314,039"
Weld,"$2,417,762"
Sum of NR Counties,"$3,735,431"
Total,"$74,382,892 "
