County,m1408
Adams,"$481,873"
Alamosa,NR
Arapahoe,"$1,453,140"
Archuleta,NR
Boulder,"$2,728,671"
Chaffee,"$75,887"
Clear Creek,"$102,919"
Costilla,NR
Denver,"$15,861,744"
Eagle,"$171,357"
El Paso,"$6,327,504"
Fremont,"$268,966"
Garfield,"$531,623"
Gilpin,"$42,366"
Grand,NR
Gunnison,NR
Jefferson,"$2,021,406"
La Plata,"$657,993"
Larimer,"$1,207,539"
Mesa,NR
Moffat,NR
Montezuma,"$132,833"
Montrose,NR
Ouray,NR
Park,NR
Pitkin,"$115,179"
Pueblo,"$460,037"
Routt,"$170,505"
Saguache,NR
San Miguel,"$46,369"
Sedgwick,NR
Summit,"$177,412"
Teller,NR
Weld,"$275,556"
Sum of NR Counties,"$601,347 "
Total,33912226
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
