County,m1705
Adams,"$1,075,187"
Alamosa,NR
Arapahoe,"$1,171,273"
Archuleta,NR
Boulder,"$1,906,922"
Chaffee,NR
Clear Creek,"$55,309"
Costilla,NR
Denver,"$18,140,806"
Eagle,"$124,904"
El Paso,"$8,925,573"
Fremont,NR
Garfield,"$321,107"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,274,422"
La Plata,"$313,285"
Larimer,"$1,167,689"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$70,134"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$59,097"
Pueblo,"$599,384"
Routt,NR
San Miguel,"$13,661"
Sedgwick,NR
Summit,"$101,828"
Teller,NR
Weld,290867
Sum of NR Counties,910446
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
