County,r1601
Adams,"$4,593,466"
Arapahoe,"$9,260,969"
Archuleta,NR
Boulder,"$5,821,440"
Chaffee,"$351,614"
Clear Creek,"$526,729"
Conejos,"$339,375"
Costilla,"$223,780"
Denver,"$27,400,081"
Eagle,"$1,398,924"
El Paso,NR
Garfield,"$1,451,481"
Gilpin,"$204,163"
Grand,"$390,044"
Gunnison,"$530,400"
Huerfano,NR
Jefferson,"$4,354,956"
Lake,"$182,830"
La Plata,"$2,011,310"
Larimer,"$4,145,435"
Las Animas,"$2,389,493"
Mesa,NR
Montezuma,"$1,211,288"
Morgan,"$579,314"
Ouray,"$334,503"
Park,"$301,869"
Pitkin,"$1,065,431"
Pueblo,"$2,566,125"
Routt,"$789,398"
Saguache,NR
San Juan,NR
San Miguel,"$316,572"
Sedgwick,NR
Summit,"$2,203,456"
Weld,"$2,486,668"
Sum of NR Counties,"$3,789,891"
Total,"$81,221,005 "
