County,r1704
Adams,"$4,969,567 "
Arapahoe,"$9,966,130 "
Archuleta,"$409,149 "
Boulder,"$5,899,546 "
Chaffee,"$356,366 "
Clear Creek,"$478,629 "
Conejos,"$404,901 "
Costilla,"$256,910 "
Denver,"$30,186,897 "
Eagle,"$938,098 "
El Paso,NR
Garfield,"$1,809,692 "
Gilpin,"$191,824 "
Grand,"$265,989 "
Gunnison,"$432,842 "
Huerfano,NR
Jefferson,"$4,695,857 "
Lake,"$196,156 "
La Plata,"$1,867,263 "
Larimer,"$4,578,590 "
Las Animas,"$2,875,977 "
Mesa,NR
Montezuma,"$1,683,864 "
Morgan,NR
Ouray,NR
Park,"$301,838 "
Pitkin,"$625,875 "
Pueblo,"$3,094,658 "
Routt,"$689,882 "
Saguache,NR
San Juan,NR
San Miguel,"$161,211 "
Sedgwick,NR
Summit,"$1,630,117 "
Weld,"$2,626,833 "
Sum of NR Counties,"$4,628,620 "
