County,r1507
Adams,"$1,822,902"
Arapahoe,"$4,482,419"
Archuleta,NR
Boulder,"$4,926,814"
Chaffee,NR
Clear Creek,"$558,033"
Conejos,NR
Costilla,NR
Denver,"$19,851,838"
Eagle,"$745,007"
El Paso,NR
Garfield,"$953,213"
Gilpin,"$185,927"
Grand,"$230,218"
Gunnison,"$454,862"
Huerfano,NR
Jefferson,"$2,891,081"
Lake,NR
La Plata,"$1,529,417"
Larimer,"$2,714,363"
Las Animas,"$1,009,958"
Mesa,NR
Montezuma,"$572,832"
Morgan,NR
Ouray,NR
Park,"$235,832"
Pitkin,"$850,341"
Pueblo,"$1,852,589"
Routt,"$631,836"
Saguache,NR
San Juan,NR
San Miguel,"$387,509"
Sedgwick,NR
Summit,"$1,304,307"
Weld,"$1,878,564"
Sum of NR Counties,"$5,245,249"
Total,"$55,315,111 "
