County,m1403
Adams,"$477,275"
Alamosa,NR
Arapahoe,"$1,490,219"
Archuleta,NR
Boulder,"$3,505,875"
Chaffee,NR
Clear Creek,"$106,955"
Costilla,NR
Denver,"$16,102,218"
Eagle,"$201,147"
El Paso,"$5,929,766"
Fremont,"$222,270"
Garfield,"$401,766"
Gilpin,"$33,416"
Grand,NR
Gunnison,NR
Jefferson,"$2,014,285"
La Plata,"$587,114"
Larimer,"$1,234,344"
Mesa,NR
Moffat,NR
Montezuma,NR
Montrose,NR
Ouray,NR
Park,NR
Pitkin,"$157,541"
Pueblo,"$375,711"
Routt,"$214,650"
Saguache,NR
San Miguel,"$75,215"
Sedgwick,NR
Summit,"$253,937"
Teller,NR
Weld,"$580,961"
Sum of NR Counties,"$857,213 "
Total,34821878
