County,m1401
Adams,"$683,098"
Alamosa,NR
Arapahoe,"$1,188,232"
Archuleta,NR
Boulder,"$3,417,873"
Chaffee,"$83,714"
Clear Creek,"$143,736"
Costilla,NR
Denver,"$15,351,083"
Eagle,"$203,060"
El Paso,"$4,923,633"
Fremont,"$134,388"
Garfield,"$396,086"
Gilpin,"$28,798"
Grand,NR
Gunnison,"$36,244"
Jefferson,"$1,979,386"
La Plata,"$523,193"
Larimer,"$964,948"
Mesa,NR
Moffat,NR
Montezuma,"$100,634"
Montrose,NR
Ouray,NR
Park,NR
Pitkin,"$194,865"
Pueblo,"$419,894"
Routt,"$239,509"
San Miguel,"$164,384"
Sedgwick,NR
Summit,"$271,441"
Teller,NR
Weld,"$657,150"
Sum of NR Counties,"$436,371"
Total,"$32,541,720 "
