County,m1710
Adams,"$948,132"
Alamosa,NR
Arapahoe,"$927,716"
Archuleta,NR
Boulder,"$1,869,460"
Chaffee,NR
Clear Creek,"$33,021"
Denver,"$16,854,622"
Eagle,"$121,584"
El Paso,"$8,153,081"
Fremont,"$143,271"
Garfield,"$265,961"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,469,845"
La Plata,"$299,503"
Larimer,"$1,124,315"
Las Animas,"$35,561"
Mesa,NR
Moffat,NR
Montezuma,"$61,290"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$57,474"
Pueblo,"$538,665"
Routt,NR
San Miguel,NR
Sedgwick,NR
Summit,"$120,951"
Teller,NR
Weld,"$327,093 "
Sum of NR Counties,730702
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
