County,m1605
Adams,"$391,906"
Alamosa,NR
Arapahoe,"$1,511,924"
Archuleta,NR
Boulder,"$2,436,555"
Chaffee,NR
Clear Creek,"$83,258"
Costilla,NR
Denver,"$17,833,330"
Eagle,"$194,685"
El Paso,"$8,343,490"
Fremont,"$207,499"
Garfield,"$526,740"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,679,965"
La Plata,"$400,259"
Larimer,"$1,292,029"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$100,642"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$80,601"
Pueblo,"$1,262,557"
Routt,NR
San Miguel,"$37,042"
Sedgwick,NR
Summit,"$161,710"
Teller,NR
Weld,"$360,773 "
Sum of NR Counties,731330
Total,37636295
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
