County,r1807
Adams,"$7,412,565 "
Arapahoe,"$10,500,847 "
Archuleta,"$1,015,573 "
Boulder,"$8,764,549 "
Chaffee,"$699,379 "
Clear Creek,"$730,165 "
Conejos,"$621,884 "
Costilla,"$450,314 "
Denver,"$34,154,291 "
Eagle,"$1,582,803 "
El Paso,NR
Garfield,"$1,917,005 "
Gilpin,"$266,111 "
Grand,"$629,538 "
Gunnison,"$954,926 "
Huerfano,NR
Jefferson,"$4,575,835 "
Lake,"$318,683 "
La Plata,"$2,366,479 "
Larimer,"$6,570,637 "
Las Animas,"$4,704,196 "
Mesa,"$1,674,477 "
Moffat,NR
Montezuma,"$2,031,292 "
Morgan,"$1,115,451 "
Ouray,"$751,062 "
Park,"$487,238 "
Pitkin,"$1,357,126 "
Pueblo,"$5,249,580 "
Routt,"$1,082,308 "
Saguache,"$191,002 "
San Juan,NR
San Miguel,"$544,147 "
Sedgwick,NR
Summit,"$2,193,931 "
Weld,"$2,480,209 "
Sum of NR Counties,"$3,902,966 "
