County,r1605
Adams,"$3,360,096"
Arapahoe,"$7,426,175"
Archuleta,NR
Boulder,"$5,315,292"
Chaffee,"$333,276"
Clear Creek,"$452,848"
Conejos,"$257,716"
Costilla,"$223,862"
Denver,"$21,615,189"
Eagle,"$650,881"
El Paso,NR
Garfield,"$1,210,134"
Gilpin,"$225,826"
Grand,"$189,787"
Gunnison,"$344,705"
Huerfano,NR
Jefferson,"$3,572,041"
Lake,"$147,684"
La Plata,"$1,740,113"
Larimer,"$3,465,166"
Las Animas,"$1,456,567"
Mesa,NR
Montezuma,"$842,550"
Morgan,"$543,167"
Ouray,"$325,887"
Park,"$237,775"
Pitkin,"$392,581"
Pueblo,"$2,184,317"
Routt,"$514,632"
Saguache,NR
San Juan,NR
San Miguel,"$157,740"
Sedgwick,NR
Summit,"$991,298"
Weld,"$2,043,048"
Sum of NR Counties,"$3,610,718"
Total,"$63,831,071 "
