County,r1701
Adams,"$4,192,709 "
Arapahoe,"$8,481,055 "
Archuleta,NR
Boulder,"$5,351,831 "
Chaffee,"$316,009 "
Clear Creek,"$584,198 "
Conejos,"$294,331 "
Costilla,"$214,330 "
Denver,"$25,681,498 "
Eagle,"$1,297,711 "
El Paso,NR
Garfield,"$1,373,945 "
Gilpin,"$157,003 "
Grand,"$378,163 "
Gunnison,"$546,542 "
Huerfano,NR
Jefferson,"$4,098,431 "
Lake,"$188,571 "
La Plata,"$1,655,168 "
Larimer,"$3,695,944 "
Las Animas,"$2,162,976 "
Mesa,NR
Montezuma,"$1,146,208 "
Morgan,NR
Ouray,"$326,182 "
Park,"$267,804 "
Pitkin,"$1,164,037 "
Pueblo,"$2,334,107 "
Routt,"$938,153 "
Saguache,NR
San Juan,NR
San Miguel,"$426,586 "
Sedgwick,NR
Summit,"$2,678,675 "
Weld,"$2,382,718 "
Sum of NR Counties,"$3,683,538 "
