County,r1805
Adams,"$6,884,789 "
Arapahoe,"$9,846,235 "
Archuleta,"$633,849 "
Boulder,"$7,305,495 "
Chaffee,"$457,767 "
Clear Creek,"$518,925 "
Conejos,"$495,930 "
Costilla,"$322,017 "
Denver,"$31,592,911 "
Eagle,"$968,533 "
El Paso,NR
Garfield,"$1,577,479 "
Gilpin,"$219,588 "
Grand,"$309,809 "
Gunnison,"$487,921 "
Huerfano,NR
Jefferson,"$4,153,426 "
Lake,NR
La Plata,"$2,086,680 "
Larimer,"$5,891,148 "
Las Animas,"$4,082,306 "
Mesa,"$1,605,904 "
Moffat,NR
Montezuma,"$1,967,881 "
Morgan,"$1,000,228 "
Ouray,"$592,357 "
Park,"$357,535 "
Pitkin,"$561,866 "
Pueblo,"$4,619,173 "
Routt,"$717,802 "
Saguache,"$151,704 "
San Juan,NR
San Miguel,"$235,398 "
Sedgwick,NR
Summit,"$1,225,108 "
Weld,"$2,396,424 "
Sum of NR Counties,"$3,376,253 "
