County,r1505
Adams,"$1,687,270"
Arapahoe,"$3,615,509"
Archuleta,NR
Boulder,"$4,281,906"
Chaffee,"$312,605"
Clear Creek,"$348,152"
Costilla,NR
Denver,"$17,590,490"
Eagle,"$432,292"
El Paso,NR
Garfield,"$720,995"
Gilpin,"$143,079"
Grand,NR
Gunnison,"$176,131"
Jefferson,"$2,538,231"
Lake,NR
La Plata,"$1,155,547"
Larimer,"$2,292,433"
Las Animas,"$606,835"
Mesa,NR
Montezuma,"$403,035"
Morgan,NR
Ouray,NR
Park,"$154,563"
Pitkin,"$329,419"
Pueblo,"$1,482,501"
Routt,"$419,611"
Saguache,NR
San Juan,NR
San Miguel,"$153,689"
Sedgwick,NR
Summit,"$719,343"
Weld,"$1,636,318"
Sum of NR Counties,"$3,390,899"
Total,"$44,590,853"
,
,
