County,m19902
Adams,"$645,769"
Alamosa,NR
Arapahoe,"$732,363"
Boulder,"$1,084,974"
Chaffee,NR
Clear Creek,NR
Denver,"$10,417,954"
Eagle,NR
El Paso,"$7,212,439"
Fremont,NR
Garfield,"$135,259"
Grand,NR
Jefferson,"$1,074,048"
La Plata,NR
Larimer,"$756,816"
Las Animas,"$20,555"
Mesa,NR
Moffat,NR
Montezuma,"$80,095"
Montrose,NR
Morgan,NR
Otero,NR
Park,NR
Pitkin,"$48,006"
Pueblo,"$588,137"
Routt,"$130,873"
San Miguel,NR
Sedgwick,NR
Summit,"$80,495"
Weld,"$301,255"
Sum of NR Counties,"$773,890"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
