County,m1612
Adams,"$568,391"
Alamosa,NR
Arapahoe,"$1,447,994"
Archuleta,NR
Boulder,"$2,510,721"
Chaffee,NR
Clear Creek,"$61,999"
Costilla,NR
Denver,"$16,064,917"
Eagle,"$163,815"
El Paso,"$8,417,826"
Fremont,"$173,405"
Garfield,"$322,592"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,545,983"
La Plata,"$334,003"
Larimer,"$1,260,854"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,NR
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$70,724"
Pueblo,"$637,069"
Routt,"$188,092"
San Miguel,"$30,626"
Sedgwick,NR
Summit,"$163,465"
Teller,NR
Weld,309108
Sum of NR Counties,600769
Total,34872353
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
