County,m1504
Adams,"$474,341"
Alamosa,NR
Arapahoe,"$1,559,596"
Archuleta,NR
Boulder,"$2,559,060"
Chaffee,NR
Clear Creek,"$76,243"
Costilla,NR
Denver,"$14,953,494"
Eagle,"$287,781"
El Paso,"$6,540,175"
Fremont,"$198,045"
Garfield,"$381,432"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,931,784"
La Plata,"$493,486"
Larimer,"$1,277,080"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$124,006"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$65,486"
Pueblo,"$389,146"
Routt,"$193,801"
San Miguel,"$38,531"
Sedgwick,NR
Summit,"$305,570"
Teller,NR
Weld,"$350,491 "
Sum of NR Counties,678969
Total,32878517
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
