County,m1407
Adams,"$452,488"
Alamosa,NR
Arapahoe,"$1,470,823"
Archuleta,NR
Boulder,"$2,547,883"
Chaffee,"$92,938"
Clear Creek,"$108,796"
Costilla,NR
Denver,"$14,083,010"
Eagle,"$165,132"
El Paso,"$5,895,119"
Fremont,"$250,084"
Garfield,"$446,439"
Gilpin,"$36,110"
Grand,NR
Gunnison,NR
Jefferson,"$1,913,729"
La Plata,"$604,088"
Larimer,"$1,087,000"
Mesa,NR
Moffat,NR
Montezuma,"$120,802"
Montrose,NR
Ouray,NR
Park,NR
Pitkin,"$117,930"
Pueblo,"$459,326"
Routt,NR
Saguache,NR
San Miguel,"$49,131"
Sedgwick,NR
Summit,"$189,746"
Teller,NR
Weld,"$303,374"
Sum of NR Counties,"$743,675 "
Total,31137623
