County,m1810
Adams,"$509,170"
Alamosa,NR
Arapahoe,"$826,764"
Boulder,"$1,287,700"
Chaffee,NR
Clear Creek,"$21,140"
Denver,"$12,720,334"
Eagle,"$86,610"
El Paso,"$7,882,342"
Fremont,NR
Garfield,"$162,367"
Grand,NR
Jefferson,"$1,249,935"
La Plata,NR
Larimer,"$932,833"
Las Animas,"$27,666"
Mesa,NR
Moffat,NR
Montezuma,"$44,755"
Montrose,NR
Morgan,NR
Otero,NR
Park,NR
Pitkin,"$33,868"
Pueblo,"$769,549"
Routt,"$132,712"
San Miguel,NR
Sedgwick,NR
Summit,"$92,669"
Weld,"$334,645"
Sum of NR Counties,"$804,319"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
