County,r1412
Adams,"$1,445,817"
Arapahoe,"$1,416,559"
Archuleta,NR
Boulder,"$3,592,405"
Chaffee,NR
Clear Creek,"$371,997"
Costilla,NR
Denver,"$14,797,861"
Eagle,"$710,631"
El Paso,NR
Garfield,"$560,065"
Gilpin,"$103,121"
Grand,NR
Gunnison,"$228,173"
Jefferson,"$1,990,092"
Lake,NR
La Plata,"$838,948 "
Larimer,1613144
Las Animas,NR
Montezuma,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,599569
Pueblo,1158670
Routt,493734
Saguache,NR
San Miguel,292834
Sedgwick,NR
Summit,1256397
Weld,1071049
Sum of NR Counties,2038379
Total,34579445
