County,r1508
Adams,"$2,007,490"
Arapahoe,"$5,068,738"
Archuleta,NR
Boulder,"$5,076,823"
Chaffee,"$529,711"
Clear Creek,"$549,270"
Conejos,NR
Costilla,NR
Denver,"$20,586,503"
Eagle,"$755,726"
El Paso,NR
Garfield,"$919,088"
Gilpin,"$209,981"
Grand,"$234,153"
Gunnison,"$454,015"
Huerfano,NR
Jefferson,"$3,008,160"
Lake,NR
La Plata,"$1,517,581"
Larimer,"$2,921,981"
Las Animas,"$1,043,528"
Mesa,NR
Montezuma,"$602,753"
Morgan,NR
Ouray,NR
Park,"$220,562"
Pitkin,"$815,391"
Pueblo,"$1,894,167"
Routt,"$649,959"
Saguache,NR
San Juan,NR
San Miguel,"$367,696"
Sedgwick,NR
Summit,"$1,325,273"
Weld,"$1,964,176"
Sum of NR Counties,"$4,956,757"
Total,"$57,679,482 "
