County,r1707
Adams,"$5,462,382 "
Arapahoe,9672770
Archuleta,"$884,084 "
Boulder,7070534
Chaffee,"$662,413 "
Clear Creek,678322
Conejos,"$586,118 "
Costilla,453934
Denver,"$34,007,419 "
Eagle,"$1,159,081 "
El Paso,NR
Garfield,"$2,128,843 "
Gilpin,"$271,414 "
Grand,455029
Gunnison,892740
Huerfano,NR
Jefferson,"$4,525,746 "
Lake,"$320,873 "
La Plata,"$2,366,747 "
Larimer,"$5,303,480 "
Las Animas,4383708
Mesa,NR
Montezuma,"$1,884,658 "
Morgan,909700
Ouray,NR
Park,465717
Pitkin,1267251
Pueblo,3762112
Routt,"$1,009,377 "
Saguache,NR
San Juan,NR
San Miguel,"$521,810 "
Sedgwick,NR
Summit,"$2,001,214 "
Weld,2659205
Sum of NR Counties,"$5,270,772 "
