County,m1509
Adams,"$456,102"
Alamosa,NR
Arapahoe,"$1,821,831"
Archuleta,NR
Boulder,"$2,808,636"
Chaffee,NR
Clear Creek,"$98,054"
Costilla,NR
Denver,"$18,017,794"
Eagle,"$306,549"
El Paso,"$8,632,187"
Fremont,"$262,093"
Garfield,"$558,081"
Gilpin,"$31,881"
Grand,NR
Gunnison,NR
Jefferson,"$2,096,374"
La Plata,"$489,476"
Larimer,"$1,546,038"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$122,425"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$90,803"
Pueblo,"$1,004,209"
Routt,"$216,833"
San Miguel,"$53,511"
Sedgwick,NR
Summit,"$235,065"
Teller,NR
Weld,"$447,995 "
Sum of NR Counties,695876
Total,39991813
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
