County,m1807
Adams,"$600,899"
Alamosa,NR
Arapahoe,"$854,281"
Archuleta,NR
Boulder,"$1,466,872"
Chaffee,NR
Clear Creek,"$23,986"
Denver,"$11,859,418"
Eagle,"$91,750"
El Paso,"$7,837,080"
Fremont,"$145,139"
Garfield,"$218,285"
Gilpin,NR
Grand,NR
Jefferson,"$1,161,582"
La Plata,"$238,044"
Larimer,"$981,720"
Las Animas,"$31,952"
Mesa,NR
Moffat,NR
Montezuma,"$92,530"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$47,118"
Pueblo,"$492,063"
Routt,"$136,681"
San Miguel,NR
Sedgwick,NR
Summit,"$91,088"
Weld,"$312,813"
Sum of NR Counties,"$555,712"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
