County,m1608
Adams,"$405,729"
Alamosa,NR
Arapahoe,"$1,587,942"
Archuleta,NR
Boulder,"$2,346,058"
Chaffee,NR
Clear Creek,"$90,213"
Costilla,NR
Denver,"$20,203,873"
Eagle,"$207,938"
El Paso,"$9,379,173"
Fremont,"$241,413"
Garfield,"$492,910"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,704,885"
La Plata,"$447,191"
Larimer,"$1,416,132"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$88,650"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$101,521"
Pueblo,"$945,662"
Routt,"$171,608"
San Miguel,"$47,479"
Sedgwick,NR
Summit,"$165,787"
Teller,NR
Weld,"$340,391 "
Sum of NR Counties,672393
Total,41056948
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
