County,m1709
Adams,"$986,385"
Alamosa,NR
Arapahoe,"$868,838"
Archuleta,NR
Boulder,"$1,867,935"
Chaffee,NR
Clear Creek,"$45,086"
Costilla,NR
Denver,"$17,531,038"
Eagle,"$138,445"
El Paso,"$8,591,074"
Fremont,"$166,500"
Garfield,"$320,870"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,391,833"
La Plata,"$301,865"
Larimer,"$1,214,136"
Las Animas,"$42,148"
Mesa,NR
Moffat,NR
Montezuma,"$74,493"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$64,771"
Pueblo,"$677,550"
Routt,NR
San Miguel,NR
Sedgwick,NR
Summit,"$115,774"
Weld,"$330,702 "
Sum of NR Counties,788590
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
