County,r1708
Adams,"$5,481,342 "
Arapahoe,"$9,187,128 "
Archuleta,"$776,784 "
Boulder,"$7,401,555 "
Chaffee,"$614,319 "
Clear Creek,"$632,988 "
Conejos,"$571,105 "
Costilla,"$400,679 "
Denver,"$35,043,361 "
Eagle,"$1,394,312 "
El Paso,NR
Garfield,"$2,108,270 "
Gilpin,"$251,283 "
Grand,"$426,846 "
Gunnison,"$809,595 "
Huerfano,NR
Jefferson,"$4,474,575 "
Lake,"$322,375 "
La Plata,"$2,289,292 "
Larimer,"$5,554,496 "
Las Animas,"$4,437,323 "
Mesa,NR
Montezuma,"$1,862,970 "
Morgan,"$964,989 "
Ouray,"$621,133 "
Park,"$455,141 "
Pitkin,"$1,205,815 "
Pueblo,"$3,815,493 "
Routt,"$976,301 "
Saguache,NR
San Juan,NR
San Miguel,"$450,802 "
Sedgwick,NR
Summit,"$1,890,882 "
Weld,"$2,708,742 "
Sum of NR Counties,"$4,418,186 "
