County,r1509
Adams,"$2,066,128"
Arapahoe,"$5,321,883"
Archuleta,NR
Boulder,"$4,564,394"
Chaffee,"$391,518"
Clear Creek,"$490,483"
Conejos,NR
Costilla,NR
Denver,"$19,062,651"
Eagle,"$632,711"
El Paso,NR
Garfield,"$888,159"
Gilpin,"$206,010"
Grand,"$182,101"
Gunnison,"$333,527"
Huerfano,NR
Jefferson,"$2,859,786"
Lake,NR
La Plata,"$1,596,319"
Larimer,"$2,735,329"
Las Animas,"$1,018,744"
Mesa,NR
Montezuma,"$605,971"
Morgan,NR
Ouray,"$342,064"
Park,"$185,916"
Pitkin,"$627,987"
Pueblo,"$1,721,621"
Routt,"$576,410"
Saguache,NR
San Juan,NR
San Miguel,"$330,093"
Sedgwick,NR
Summit,"$1,024,344"
Weld,"$1,804,494"
Sum of NR Counties,"$4,070,723"
Total,"$53,639,366 "
