County,r1702
Adams,"$4,117,924 "
Arapahoe,"$8,243,087 "
Archuleta,"$498,578 "
Boulder,"$5,165,008 "
Chaffee,"$311,277 "
Clear Creek,"$551,247 "
Conejos,"$331,768 "
Costilla,"$214,658 "
Denver,"$25,223,748 "
Eagle,"$1,277,562 "
El Paso,NR
Garfield,"$1,492,785 "
Gilpin,"$180,512 "
Grand,"$366,095 "
Gunnison,"$493,440 "
Huerfano,NR
Jefferson,"$3,970,982 "
La Plata,"$1,708,769 "
Lake,"$187,885 "
Larimer,"$3,771,110 "
Las Animas,"$2,558,480 "
Mesa,NR
Montezuma,"$1,275,430 "
Morgan,"$623,494 "
Ouray,"$331,947 "
Park,"$275,968 "
Pitkin,"$1,076,901 "
Pueblo,"$2,575,500 "
Routt,"$912,576 "
Saguache,NR
San Juan,NR
San Miguel,"$394,742 "
Sedgwick,NR
Summit,"$2,403,241 "
Weld,"$2,440,896 "
Sum of NR Counties,"$2,690,356 "
