County,m1809
Adams,"$398,277"
Alamosa,NR
Arapahoe,"$889,138"
Boulder,"$1,299,455"
Chaffee,NR
Clear Creek,"$28,653"
Denver,"$12,967,617"
Eagle,"$96,626"
El Paso,"$7,786,421"
Fremont,NR
Garfield,"$182,576"
Grand,NR
Jefferson,"$1,247,843"
La Plata,NR
Larimer,"$936,033"
Las Animas,"$27,817"
Mesa,NR
Moffat,NR
Montezuma,"$94,993"
Montrose,NR
Morgan,NR
Otero,NR
Park,NR
Pitkin,"$44,125"
Pueblo,"$566,009"
Routt,"$135,149"
San Miguel,NR
Sedgwick,NR
Summit,"$94,092"
Weld,"$313,809"
Sum of NR Counties,"$788,940"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
