County,m1409
Adams,"$453,206"
Alamosa,NR
Arapahoe,"$1,353,297"
Archuleta,NR
Boulder,"$2,715,576"
Chaffee,NR
Clear Creek,"$102,603"
Costilla,NR
Denver,"$15,196,933"
Eagle,"$181,480"
El Paso,"$5,953,327"
Fremont,"$233,349"
Garfield,"$527,700"
Gilpin,"$39,786"
Grand,NR
Gunnison,NR
Jefferson,"$1,845,807"
La Plata,"$623,331"
Larimer,"$1,315,740"
Mesa,NR
Moffat,NR
Montezuma,"$125,628"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$100,612"
Pueblo,"$436,843"
Routt,"$167,807"
San Miguel,"$39,758"
Sedgwick,NR
Summit,"$179,358"
Teller,NR
Weld,"$287,891"
Sum of NR Counties,"$841,206 "
Total,32721238
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
