County,m1406
Adams,"$433,176"
Alamosa,NR
Arapahoe,"$1,425,313"
Archuleta,NR
Boulder,"$2,507,058"
Chaffee,"$96,647"
Clear Creek,"$97,965"
Costilla,NR
Denver,"$13,476,218"
Eagle,"$132,878"
El Paso,"$5,342,494"
Fremont,"$228,665"
Garfield,"$418,280"
Gilpin,"$38,278"
Grand,NR
Gunnison,NR
Jefferson,"$1,889,080"
La Plata,"$544,589"
Larimer,"$1,112,079"
Mesa,NR
Moffat,NR
Montezuma,"$115,548"
Montrose,NR
Ouray,NR
Park,NR
Pitkin,"$110,679"
Pueblo,"$403,341"
Routt,NR
Saguache,NR
San Miguel,"$75,455"
Sedgwick,NR
Summit,"$203,354"
Teller,NR
Weld,"$470,633"
Sum of NR Counties,"$828,579 "
Total,29950309
