County,m1607
Adams,"$407,856"
Alamosa,NR
Arapahoe,"$1,544,755"
Archuleta,NR
Boulder,"$2,288,359"
Chaffee,NR
Clear Creek,"$69,153"
Costilla,NR
Denver,"$19,516,909"
Eagle,"$203,569"
El Paso,"$9,016,410"
Fremont,"$229,800"
Garfield,"$443,929"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,706,015"
La Plata,"$429,948"
Larimer,"$1,355,537"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$104,162"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$97,253"
Pueblo,"$1,351,605"
Routt,"$157,223"
San Miguel,"$43,759"
Sedgwick,NR
Summit,"$170,367"
Teller,NR
Weld,"$335,697 "
Sum of NR Counties,657679
Total,40129985
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
