County,m1604
Adams,"$387,146"
Alamosa,NR
Arapahoe,"$1,682,301"
Archuleta,NR
Boulder,"$2,706,731"
Chaffee,NR
Clear Creek,"$80,570"
Costilla,NR
Denver,"$17,690,729"
Eagle,"$231,691"
El Paso,"$8,357,949"
Fremont,"$217,581"
Garfield,"$468,925"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,727,954"
La Plata,"$410,448"
Larimer,"$1,388,304"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$114,171"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$88,482"
Pueblo,"$1,248,985"
Routt,"$188,783"
San Miguel,"$44,771"
Sedgwick,NR
Summit,"$201,583"
Teller,NR
Weld,"$425,780 "
Sum of NR Counties,631619
Total,38294503
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
