County,m1511
Adams,"$411,536"
Alamosa,NR
Arapahoe,"$1,474,373"
Archuleta,NR
Boulder,"$2,441,291"
Chaffee,NR
Clear Creek,"$65,544"
Costilla,NR
Denver,"$13,509,435"
Eagle,"$239,175"
El Paso,"$6,629,977"
Fremont,"$146,376"
Garfield,"$276,743"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,654,954"
La Plata,"$332,966"
Larimer,"$1,263,937"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$93,505"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$78,898"
Pueblo,"$776,637"
Routt,"$182,755"
San Miguel,"$39,568"
Sedgwick,NR
Summit,"$214,387"
Teller,NR
Weld,"$361,925 "
Sum of NR Counties,576454
Total,30770436
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
