County,m1405
Adams,"$467,977"
Alamosa,NR
Arapahoe,"$1,511,922"
Archuleta,NR
Boulder,"$2,823,124"
Chaffee,"$88,974"
Clear Creek,"$97,349"
Costilla,NR
Denver,"$14,150,620"
Eagle,"$146,126"
El Paso,"$5,518,910"
Fremont,"$239,918"
Garfield,"$434,235"
Gilpin,"$42,979"
Grand,NR
Gunnison,NR
Jefferson,"$2,037,535"
La Plata,"$561,810"
Larimer,"$1,116,171"
Mesa,NR
Moffat,NR
Montezuma,"$120,385"
Montrose,NR
Ouray,NR
Park,NR
Pitkin,"$95,001"
Pueblo,"$452,196"
Routt,"$159,620"
San Miguel,"$49,679"
Sedgwick,NR
Summit,"$201,566"
Teller,NR
Weld,"$516,873"
Sum of NR Counties,"$522,238"
Total,"$31,355,208 "
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
