County,r1511
Adams,"$2,426,969"
Arapahoe,"$5,485,411"
Archuleta,NR
Boulder,"$4,312,311"
Chaffee,"$257,406"
Clear Creek,"$382,303"
Conejos,NR
Costilla,NR
Denver,"$17,834,233"
Eagle,"$608,573"
El Paso,NR
Garfield,"$706,287"
Gilpin,"$165,186"
Grand,"$149,468"
Gunnison,"$250,041"
Huerfano,NR
Jefferson,"$2,816,172"
Lake,NR
La Plata,"$1,192,549"
Larimer,"$2,561,270"
Las Animas,"$850,923"
Mesa,NR
Montezuma,"$528,833"
Morgan,NR
Ouray,NR
Park,"$168,909"
Pitkin,"$348,178"
Pueblo,"$1,447,179"
Routt,"$437,492"
Saguache,NR
San Juan,NR
San Miguel,"$121,095"
Sedgwick,NR
Summit,"$1,022,796"
Weld,"$1,688,077"
Sum of NR Counties,"$3,692,094"
Total,"$49,453,755 "
