County,m1906
Adams,"$698,316 "
Alamosa,NR
Arapahoe,"$787,756 "
Archuleta,
Boulder,"$1,036,137 "
Chaffee,NR
Clear Creek,NR
Costilla,
Denver,"$12,684,305 "
Eagle,"$89,204 "
El Paso,"$9,578,226 "
Fremont,NR
Garfield,"$122,326 "
Gilpin,
Grand,NR
Gunnison,"$1,284,543 "
Jefferson,NR
La Plata,"$1,336,184 "
Larimer,"$38,607 "
Mesa,NR
Moffat,NR
Montezuma,NR
Montrose,NR
Ouray,NR
Park,NR
Pitkin,NR
Pueblo,NR
Routt,"$677,697 "
San Miguel,"$142,624 "
Sedgwick,NR
Summit,NR
Teller,74340
Weld,"$311,967 "
Sum of NR Counties,"$791,130 "
Total,"$29,653,362 "
