County,m1512
Adams,"$441,833"
Alamosa,NR
Arapahoe,"$1,606,205"
Archuleta,NR
Boulder,"$2,807,281"
Chaffee,NR
Clear Creek,"$81,631"
Costilla,NR
Denver,"$16,255,498"
Eagle,"$273,264"
El Paso,"$7,639,235"
Fremont,"$160,693"
Garfield,"$318,985"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,745,285"
La Plata,"$370,071"
Larimer,"$1,374,506"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$89,934"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$83,107"
Pueblo,"$1,251,262"
Routt,"$203,563"
San Miguel,"$45,244"
Sedgwick,NR
Summit,"$234,110"
Teller,NR
Weld,"$384,896 "
Sum of NR Counties,644290
Total,36010893
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
