County,m1806
Adams,"$355,054"
Alamosa,NR
Arapahoe,"$769,443"
Archuleta,NR
Boulder,"$1,430,060"
Chaffee,NR
Clear Creek,"$22,895"
Denver,"$11,375,581"
Eagle,"$99,986"
El Paso,"$8,272,114"
Fremont,"$153,170"
Garfield,"$253,141"
Gilpin,NR
Grand,NR
Jefferson,"$1,194,256"
La Plata,"$256,422"
Larimer,"$965,461"
Las Animas,"$39,736"
Mesa,NR
Moffat,NR
Montezuma,"$59,954"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$52,088"
Pueblo,"$692,724"
Routt,"$126,739"
San Miguel,NR
Sedgwick,NR
Summit,"$84,313"
Weld,"$331,725"
Sum of NR Counties,"$562,102"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
