County,m1602
Adams,"$331,503"
Alamosa,NR
Arapahoe,"$1,502,406"
Archuleta,NR
Boulder,"$2,517,617"
Chaffee,NR
Clear Creek,"$89,373"
Costilla,NR
Denver,"$15,302,180"
Eagle,"$234,659"
El Paso,"$7,548,713"
Fremont,NR
Garfield,"$386,348"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,589,401"
La Plata,"$360,382"
Larimer,"$1,341,468"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$102,860"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$95,627"
Pueblo,"$980,275"
Routt,"$193,928"
San Miguel,"$46,544"
Sedgwick,NR
Summit,"$212,147"
Teller,NR
Weld,"$395,983 "
Sum of NR Counties,787820
Total,34019234
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
