County,r1812
Adams,"$7,333,549 "
Arapahoe,"$10,731,040 "
Archuleta,"$785,073 "
Boulder,"$7,757,965 "
Chaffee,NR
Clear Creek,"$614,305 "
Conejos,"$442,161 "
Costilla,"$304,403 "
Denver,"$32,997,057 "
Eagle,"$1,755,283 "
El Paso,NR
Garfield,"$1,589,975 "
Gilpin,"$171,994 "
Grand,"$594,083 "
Gunnison,"$629,546 "
Huerfano,NR
Jefferson,"$4,456,550 "
Lake,"$228,276 "
La Plata,"$2,161,229 "
Larimer,"$6,853,279 "
Las Animas,"$3,919,079 "
Mesa,"$1,562,193 "
Moffat,"$557,631 "
Montezuma,"$1,670,767 "
Morgan,NR
Otero,NR
Ouray,NR
Park,"$375,986 "
Pitkin,"$1,254,451 "
Pueblo,"$5,240,434 "
Routt,"$1,139,807 "
Saguache,"$141,551 "
San Juan,NR
San Miguel,"$437,260 "
Sedgwick,NR
Summit,"$2,585,000 "
Weld,"$2,461,592 "
Sum of NR Counties,"$4,746,180 "
