County,m19903
Adams,"$756,266"
Alamosa,NR
Arapahoe,"$803,133"
Archuleta,$0
Boulder,"$1,176,332"
Chaffee,NR
Clear Creek,NR
Costilla,$0
Denver,"$12,204,058"
Eagle,"$85,720"
El Paso,"$8,576,412"
Fremont,NR
Garfield,"$160,604"
Grand,NR
Jefferson,"$1,339,825"
La Plata,NR
Larimer,"$846,068"
Las Animas,"$39,741"
Mesa,NR
Moffat,NR
Montezuma,"$44,973"
Montrose,NR
Morgan,NR
Otero,NR
Park,NR
Pitkin,"$53,366"
Pueblo,"$654,207"
Routt,"$149,654"
San Miguel,NR
Sedgwick,NR
Summit,"$90,465"
Weld,"$324,054"
Sum of NR Counties,"$792,987"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
